"자전거보관소명",소재지도로명주소,소재지지번주소,위도,경도,보관대수,설치연도,설치형태,차양막설치여부,공기주입기비치여부,공기주입기유형,수리대설치여부,관리기관전화번호,관리기관명,데이터기준일자
"서대문역2번출구",,서울특별시 서대문구 충정로2가 8-2,37.591049,126.941365,20,2013,단독형,N,Y,수동식,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"서대문역8번출구",,서울특별시 서대문구 미근동102-1,37.5626363387,126.9668051023,15,2016,단독형,N,Y,기계식+태양광식,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"충정로역9번출구",,서울특별시 서대문구 충정로3가 360-25,37.5604990813,126.9634393687,8,2003,연결형,N,N,,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"독립문역4번출구",,서울특별시 서대문구 현저동 101,37.5761055433,126.9554445886,30,2002,연결형,Y,Y,수동식,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"아현역1번출구",,서울특별시 서대문구 북아현동136-13,,,11,2016,단독형,N,Y,기계식+태양광식,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"가좌역 4번출구",,서울특별시 서대문구 남가좌동 293-64,37.5688870324,126.9151497912,15,2014,연결형,Y,N,,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"가좌역 4번출구",,서울특별시 서대문구 남가좌동 293-64,37.5688870324,126.9151497912,15,2016,단독형,N,Y,기계식+태양광식,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"가좌역 3번출구",,서울특별시 서대문구 남가좌동 293-64,37.5688870324,126.9151497912,15,2014,연결형,Y,N,,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"이대역4번출구",,서울특별시 서대문구 대현동 45-9,37.5570713640,126.9463217315,5,2013,단독형,N,N,,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"홍제역4번출구",서울특별시 서대문구 통일로457,,37.5892089495,126.9432416000,19,2016,단독형,N,N,,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"홍제역3번출구",서울특별시 서대문구 통일로437-1,,37.5879510856,126.9447860048,11,2016,단독형,N,N,,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"무악재역3번출구",서울특별시 서대문구 통일로357,,37.5819884999,126.9498460711,7,2013,단독형,N,N,,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"홍제역3,4번출구 사이",서울특별시 서대문구 통일로451,,37.5886701766,126.9438499068,9,2016,단독형,N,N,,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"아현역1번출구",,서울특별시 서대문구 북아현동 1015,37.5586416507,126.9559727797,20,2017,단독형,N,N,,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"신촌역 2번출구",서울특별시 서대문구 신촌로 93,,37.5556893522,126.9365678281,11,2017,단독형,N,N,,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"신촌역 3번출구",서울특별시 서대문구 신촌로 99,,37.5556905692,126.9371588202,16,2017,단독형,N,Y,기계식+태양광식,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"신촌역 1번출구",서울특별시 서대문구 신촌로 91,,37.5555881567,126.9363751793,5,2017,단독형,N,N,,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"서대문구청 버스정류장(13208)",,서울특별시 서대문구 연희동 743,37.5788349700,126.9344773839,34,2007,연결형,Y,N,,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"사천교 버스정류장",,서울특별시 서대문구 연희동 375-4,,,14,2007,연결형,N,N,,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"정원여중 정류장 지난 건널목",,서울특별시 서대문구 홍은동 산 11-51,,,34,2005,연결형,Y,N,,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"정원여중 정류장",,서울특별시 서대문구 홍은동 산 11-75,,,28,2012,연결형,Y,N,,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"연희동자치회관",,서울특별시 서대문구 연희동 122-16,37.5693360135,126.9307755346,10,2005,연결형,N,N,,N,02-330-1906,서대문구청 교통행정과,2020-12-10
27구간 노외주차장,,서울특별시 서대문구 연희동 537-145,37.5700097908,126.9214394629,14,2007,연결형,Y,N,,N,02-330-1906,서대문구청 교통행정과,2020-12-10
2구간 노외주차장,,서울특별시 서대문구 연희동 541-49,,,17,2007,연결형,Y,N,,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"홍은4공영주차장",,서울특별시 서대문구 홍은동 9-539,,,10,2009,단독형,N,Y,기계식,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"홍은1공영주차장",서울특별시 서대문구 포방터2길10,,37.5986792508,126.9495412415,7,2016,단독형,N,N,,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"충정로KT&G 앞 육교 밑",,서울특별시 서대문구 충정로2가 157-2,,,10,2007,연결형,N,N,,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"삼창빌딩",,서울특별시 서대문구 충정로3가 63-1,37.5605682920,126.9626211487,18,2003,단독형,N,N,,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"농협빌딩(구 임광빌딩)",,서울특별시 서대문구 미근동 267,37.5623619358,126.9686005457,14,2007,연결형,Y,N,,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"봉원고가앞",,서울특별시 서대문구 대신동 115,37.5664180410,126.9463410590,10,2013,단독형,N,N,,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"서대문구청",,서울특별시 서대문구 연희동 168-6,37.5791546257,126.9367591751,50,2007,연결형,Y,Y,기계식,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"서연중학교",,서울특별시 서대문구 연희동 267-1,37.5682252703,126.9273335812,65,2007,연결형,Y,Y,기계식,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"주택가",,서울특별시 서대문구 연희동 179-123,37.5759685704,126.9315023937,10,2005,연결형,N,N,,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"홍연연립 77동앞",,서울특별시 서대문구 연희동 179-64,37.5761274399,126.9315440206,14,2004,연결형,N,N,,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"홍연연립 77동앞",,서울특별시 서대문구 연희동 179-69,37.5760758632,126.9313203757,10,2004,연결형,N,N,,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"굿모닝마트",,서울특별시 서대문구 홍제3동 295-33,,,7,2005,연결형,N,N,,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"인왕초등학교",서울특별시 서대문구 통일로40길 35,,37.5908169836,126.9444478303,7,2003,연결형,N,N,,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"유진상가",서울특별시 서대문구 통일로 484,,37.5916067956,126.9429417627,10,2006,연결형,N,N,,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"유원하나아파트(육교 하부)",,서울특별시 서대문구 홍제3동 454,,,10,2004,연결형,N,N,,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"홍박공원",,서울특별시 서대문구 홍은동 11-1085,,,10,2013,연결형,Y,N,,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"홍은동중앙소공원",,서울특별시 서대문구 홍은1동 9-498,,,14,2006,연결형,Y,Y,기계식+태양광식,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"홍은2동주민센터",,서울특별시 서대문구 홍은2동 273-10,,,20,2011,연결형,N,N,,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"서대문구보건소 별관",,서울특별시 서대문구 홍은2동 425-3,,,7,2012,연결형,N,N,,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"명지전문대 앞 보도",,서울특별시 서대문구 홍은동 354-2,,,40,2006,연결형,Y,Y,기계식,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"홍은동현대아파트",,서울특별시 서대문구 홍은2동 산11-259,,,61,2005,연결형,Y,Y,수동식,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"외환은행",,서울특별시 서대문구 남가좌1동270-9,,,7,2007,연결형,N,N,,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"사설주차장 앞",서울특별시 서대문구 수색로6길 4,,37.5705479844,126.9133680104,10,2007,연결형,N,N,,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"북가좌1동주민센터 앞",서울특별시 서대문구 수색로 100-55,,37.5743684898,126.9101368764,2,2014,독립형,N,N,,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"북가좌1동주민센터 옆 공원",,서울특별시 서대문구 북가좌동 475,,,8,2014,독립형,N,Y,수동식,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"국제빌딩",서울특별시 서대문구 수색로 144,,37.5753161142,126.9052443327,15,2016,독립형,N,N,,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"진흥아파트",,서울특별시 서대문구 홍은2동 459,,,34,2014,연결형,Y,N,,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"남가좌1동주민센터",,서울특별시 서대문구 남가좌동119-11,,,9,2016,연결형,N,Y,기계식,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"연희초등학교",,서울특별시 서대문구 연희동 87-27,,,15,2014,연결형,N,N,,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"가재울초교",,서울특별시 서대문구 남가좌동197-2,,,20,2017,독립형,N,Y,기계식+태양광식,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"홍연교밑",,서울특별시 서대문구 홍은2동 275-84,,,32,2003,연결형,N,Y,기계식+태양광식,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"두바퀴쉼터옆",,서울특별시 서대문구 연희동 605,37.5748474284,126.9265009937,10,2006,연결형,N,N,,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"연가교옆",,서울특별시 서대문구 연희동 524-3,37.5717318093,126.9224489647,27,2001,연결형,Y,N,,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"홍제천자동차공업사 정도 천변",,서울특별시 서대문구 홍은동 265-437,,,17,1997,연결형,N,N,,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"그랜드힐튼호텔맞은편 천변",,서울특별시 서대문구 홍은동 265-437,,,20,2004,연결형,N,N,,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"홍제자전거주차장",,서울특별시 서대문구 홍제1동 294-84,,,52,2019,연결형,N,Y,기계식,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"홍연2교",,서울특별시 서대문구 홍은동 277-152,37.5775167456,126.9298097801,10,2017,독렵형,N,Y,기계식+태양광식,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"현대정비소 건너편",,서울특별시 서대문구 남가좌동 318-20,,,30,2002,연결형,Y,N,,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"자전거교육장(천변)",,서울특별시 서대문구 남가좌동 85,,,10,2013,독립형,N,Y,수동식,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"자전거교육장(위편)",,서울특별시 서대문구 남가좌동 318-21,,,10,2013,연결형,Y,N,,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"연가교",,서울특별시 서대문구 연희동 530-4,,,14,2013,연결형,Y,N,,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"은평구경계",,서울특별시 서대문구 북가좌2동 340-14,,,7,2003,연결형,N,N,,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"증산2교 무인대여소옆",,서울특별시 서대문구 북가좌2동 342-14,,,7,2011,연결형,Y,Y,기계식,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"증산2교밑",,서울특별시 서대문구 북가좌2동 342-14,,,10,2003,연결형,N,N,,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"북가좌2동 344-10",,서울특별시 서대문구 북가좌2동 344-10,,,14,2006,연결형,Y,N,,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"증산3교옆",,서울특별시 서대문구 북가좌2동 348-17,,,14,2003,연결형,Y,N,,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"월드컵현대상가앞",,서울특별시 서대문구 북가좌1동 371-18,,,14,2006,연결형,Y,N,,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"백련교밑",,서울특별시 서대문구 연희동 170-185,,,10,2014,연결형,N,Y,기계식+태양광식,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"유진상가 밑",,서울특별시 서대문구 홍제동 294-46,37.5916067956,126.9429417627,5,2019,독립형,N,N,,N,02-330-1906,서대문구청 교통행정과,2020-12-10
"홍제교 밑",,서울특별시 서대문구 홍제동 266-271,,,10,2019,연결형,N,N,,N,02-330-1906,서대문구청 교통행정과,2020-12-10
